Article Number,Dates,Fatality Range,Countries
114," Sunday,  Saturday,  Sunday,  A,  day",[ 112 to  seven]," Ky,  Moscow,  Ukraine,  KY,  Ukraine,  Russia,  Crimea,  Moscow,  Moscow,  Moscow,  Ukraine,  the,  Federation,  Russia,  Ky, iv, qu, IV,  Russian, iv"
115," this,  weekend,  Summer,  summer,  eight,  the,  two,  that,  year,  1900,  the,  decade,  2010,  2020, s,  July,  days,  years,  next,  days, es,  day, -round,  last",[ 107 to  one]," McCarthy,  Alaska,  McCarthy,  McCarthy,  McCarthy,  Ken,  McCarthy, necott"
116," decades,  decades,  September,  1973,  2019,  2011,  2017,  last,  early,  2019,  month,  September",[ 114 to  than]," Greece,  A,  Greece,  Greece,  Athens,  The,  The,  The,  the,  States,  Athens, THENS, technic, ssaloniki, ssaloniki, ssaloniki,  United"
117, September,[ 115 to  so]," AS,  Israel,  Ash,  Israel,  Ash,  Ash, on, les, HALIM, gev, alim, alim, alim"
118," over,  years,  the,  the,  November,  over,  years,  barely,  year,  February,  last,  January, ising,  150,  1870s,  2010s,  2020,  100,  a,  later,  2021,  October",[ 100 to more]," Manhattan,  India,  Netherlands,  Saudi,  the,  States,  Las,  West,  India,  Arabia,  United,  Vegas,  Virginia"
119," a,  year,  Last,  many,  the,  since,  the,  Tuesday,  the,  year,  late,  2022,  bumpy,  October,  years,  year,  year,  past,  September",[ 117 to  two],N/A
120," 17, year, old,  Sunday,  17, year, old,  16, old, -, -, -, -, -year-",[ 118 to  two]," New,  Shirley,  Long,  M,  M,  Suffolk,  New,  York,  Island, astic, astic Beach,  County"
121," last,  Tuesday,  last,  year,  week",[ 119 to  500]," Russia,  W,  Russia,  Alexandria,  Va,  the,  District,  Virginia,  Russia, s, ASHINGTON, ., .,,  Eastern,  of"
122," decades,  centuries,  more,  a,  today,  recent,  recent,  years,  2021,  20,  2021,  the,  five,  last,  than,  century,  decades,  years, 26,  past,  years,  year",[ 120 to .38 billion]," India,  NAD,  India,  America,  India,  India,  the,  States,  France,  Italy,  K,  West,  India,  India,  India,  The,  States, IA,  United, olkata,  Bengal,  United"
123," Weeks,  31,  5,  September,  two,  later,  eight,  Sunday,  three,  Sept,  Oct,  Tuesday,  the,  13,  last,  last, ., athons, 3, -year-old,  2021,  weeks,  months,  weeks, . 25, . 2,  last,  months,  week,  September",[ 121 to  three]," Washington,  Champ,  Ill,  Berlin,  London, mpic,  State, aign"
124," 1960,  daily,  Six,  later,  2021,  February,  decades",[ 122 to  500]," Mexico,  Mexico,  Argentina,  Ecuador,  Spain,  Bolivia, ellum, arth"
125," the,  this,  my,  weeks,  August,  June,  September,  last,  spring,  week,  two,  week",[ 1 to quarter]," India,  India,  Maharashtra,  Mumbai,  Pakistan,  P,  Florida,  State, une"
126," Thursday,  34,  June,  Friday,  February,  2020",[ 124 to  million]," Thailand,  Thailand,  Thailand,  Thailand,  the,  States,  Thailand,  United"
127," Monday,  70,  21,  2020,  late,  the,  2018,  2017,  years, -summer,  mid-1990s",[ 125 to  500]," California,  New,  Los,  L,  Los,  New,  New, 's,  Los,  New,  Los,  Los,  Hollywood,  Hollywood,  Los,  York,  Angeles, OS ANGELES,  Angeles,  York,  York,  Angeles,  York,  Angeles,  Angeles,  Angeles"
128," the,  decades,  early,  84,  1920s,  September",[ 126 to ys]," WE,  Calif,  Lincoln,  Sisk,  Oregon,  Louisiana,  Mississippi,  Arkansas,  Lincoln,  Lincoln,  Weed,  Lincoln,  Lincoln,  California,  Santa,  Paradise,  Green,  Lincoln, ro, ED, .,  Heights, iyou County,  Heights,  Heights,  Heights,  Heights, ey,  Rosa, ville,  Heights"
129," 89,  old,  Old,  Day,  2019,  2005,  1988,  1984,  1957,  many,  years, -Timers',  years",[ 127 to  three]," Bronx,  Houston,  Alabama,  Staten,  Des,  Iowa,  Island,  Moines"
130," this,  this,  January,  2012,  42,  seven,  later,  May,  the,  2022,  year,  year,  of,  months,  summer",[ 10 to figure]," the,  States,  United"
131," annual,  June,  millennia,  late,  the,  15,  20,  early, ats,  August,  next,  or,  days,  September","[ 1 to ,500]"," India,  K,  India,  India,  K,  Pakistan,  India,  Bengal,  India, ric, UMBHARWADI, ats, umbharwadi, uru"
132," late,  two,  36,  more,  a,  September, -week,  than,  decade",[ 130 to  one]," Colombia,  Los, igeon, ed,  Angeles"
133," every,  daily,  Oct,  five,  decades,  the,  ten,  April,  June,  the,  period,  year,  this,  the,  year,  the,  weekend, . 16, -year,  last,  years,  through,  same,  last,  year,  first,  1990s",[ 131 to  quarter]," China,  Beijing,  China,  China,  China,  China,  China,  China,  China,  China"
134," 1896, 80",[ 132 to  one]," Finland, ajaani"
135," this,  season,  the,  of,  about,  days,  Nov.,  year,  season,  end,  July,  60,  12",[ 11 to  two]," Canada,  Switzerland,  Japan,  Canada,  United,  England,  Denmark,  France,  Spain,  Dubai,  States"
136," the,  of,  year,  end,  this",[ 134 to  two],N/A
137," more,  30,  59,  last,  the,  few, s,  than,  years,  winter,  past,  weeks",[ 135 to  three]," Ukraine,  Ukraine,  SOL,  Ukraine,  Ukraine,  Florida,  Sol,  Sol,  Somalia,  America,  Iraq,  Afghanistan,  Ukraine,  America,  Poland,  Ukraine, EDAR, edar, edar"
138," the,  2008,  years,  years",[ 1 to  two]," LOS,  Los,  San,  Los,  Los,  California,  ANGELES,  Angeles,  Francisco,  Angeles,  Angeles"
139," 2020,  82,  1996",[ 137 to  to]," Mont,  Manhattan, auk, ai"
140," 1994,  100,  days",[ 13 to  up]," Rwanda,  Rwanda,  G,  Rwanda,  Libya,  G,  Rwanda,  K,  Rwanda,  Rwanda,  Britain,  Denmark,  Rwanda, R,  Britain,  Rwanda,  Rwanda,  Bur,  the,  Republic,  Congo,  Erit,  Somalia,  Sudan,  Israel,  Rwanda, ASHORA, ashora, igali, wanda, undi,  Democratic,  of, rea"
141," next,  next,  Tuesday,  last,  next,  2012,  spring,  spring,  month,  spring",[ 139 to  500], Chicago
142," third,  Sunday,  Sept.,  five,  Sunday, 3, 3,  Saturday,  Sunday,  first, year, -year,  29,  days, -, -, -",[ 140 to  500]," E,  N, AST RUTHERFORD, .J."
143," the,  the,  Sunday,  a,  Saturday,  years,  the,  this,  2000,  more,  four,  years,  1967,  weekend,  eve, kkot,  week,  spring,  year,  than,  years",[ 100 to  two]," Jerusalem,  J,  East,  Jerusalem,  Jen,  West,  Israel,  the,  Bank,  West,  Jen,  N,  the,  Bank,  West,  the,  Bank,  Israel,  the,  Bank,  East,  Jordan,  East, ERUSALEM,  Jerusalem, afat, in,  Bank,  West,  Bank, in, ablus,  West,  Bank,  West,  West,  Jerusalem,  Jerusalem"
144," 17,  17, year,  Oct.,  Friday,  Wednesday,  Saturday, -year-old, -, -old,  2",[ 142 to  500]," San,  San,  San,  Bex,  San,  San,  Antonio,  Antonio,  Antonio, ar County,  Antonio,  Antonio"
145," 96,  more,  60,  Saturday,  96,  1960,  ',  2006,  the,  1970,  ',  1974,  more,  two,  earlier,  1951,  than,  years, s, 70s,  1960s, s, 80s,  than,  decades",[ 143 to ply]," Manhattan,  New,  New,  University,  York,  York"
146," the,  24,  the,  years,  that,  day,  27,  2016,  decades,  each,  five,  ago,  day, -year-old,  months,  tragic,  year,  years",[ 144 to  two]," Ohio,  New,  North,  Ohio,  Washington, atcong,  Jersey, field"
147," Friday,  Tuesday,  Wednesday,  day,  Thursday,  Friday,  Friday,  a,  11,  this,  of,  Sunday,  last,  34,  the,  this,  this,  season,  years,  time,  year,  season,  years,  season,  season",[ 145 to ⅓]," Arlington,  Texas,  Miami,  New,  York"
148," year,  this,  up,  a,  less,  a,  ago,  July,  22, id,  summer,  to,  week,  than,  decade,  2023",[ 140 to  two]," K,  Hawaii,  Hawaii,  Oregon,  N,  N,  State,  Pa, AILUA-KONA, .C.A.A., ona, .C.A.A.,  College, .,"
149," 1949,  decades,  2012,  Sunday",[ 147 to  500]," New,  York"
150," This,  this,  Tuesday,  this,  1912,  1914,  year,  2014,  more,  a,  one,  year,  this,  26, The,  year,  22,  early,  spring,  Season,  season,  year,  than,  year,  full,  summer, .5 years,  whole,  years,  this",[ 148 to 27]," CLE,  New,  Kansas,  Kansas, VELAND,  York,  City,  City"
151," the,  One,  Columbus,  thousands,  years,  Columbus,  the,  this,  Monday,  Oct.,  the,  Monday,  October, ',  thousands,  years,  Columbus,  14,  this,  Friday,  last,  Indigenous,  the,  1990,  the,  day,  year, ',  Day,  of,  Day,  day,  year, ,,  10,  second,  of,  of,  Day, 92,  year, ',  year,  Peoples',  day,  day, ative",[ 130 to  two]," U,  Spain,  U, S,  South,  Alaska,  Oregon,  Vermont,  Berkeley,  Calif,  Seattle,  Minneapolis, .S., a, ., .,  Dakota"
152," 2022,  Sunday,  season",[ 101 to  6]," NEW,  YORK"
153," 2020,  2024",[ 151 to  one]," E,  Mich,  Detroit,  U, S,  Pennsylvania,  New, ASTPOINTE, ., ., .,  Hampshire"
154," annual,  June,  millennia,  late,  the,  15,  20,  early,  The,  season,  July,  August, ats,  August,  next,  or,  days,  September,  monsoon","[ 1 to ,500]"," K,  India,  Ind,  K,  Pakistan,  Ind,  Bengal,  Ind,  P,  Ind, UMBHARWADI, ias, ats, res, umbharwadi, res, ias, uru, ias, une, ias"
155," 15th,  16,  Renaissance,  The,  after,  two, - and, th-century,  century,  1485,  years",[ 153 to  seven]," NEW,  England,  London,  England,  England,  Rome,  YORK, worth, or"
156," Thursday,  Friday,  30,  last,  1945,  Thursday,  late,  the,  years,  month,  February,  weekend",[ 154 to  four]," Russia,  Ukraine,  the,  States,  Russia,  Russia,  Ukraine,  Ukraine,  Russia,  the,  States,  Japan,  U, S,  Russia,  U, S,  U, S,  United,  United, ., ., ., ., ., ."
157,N/A,[ 155 to  two], Georgia
158," Sunday,  Saturdays,  Sunday,  A,  day",[ 156 to  seven]," KY,  Ukraine,  Crimea,  Moscow,  Moscow,  Moscow,  Ukraine,  the,  Federation,  Russia,  Ky, IV, ias,  Russian, iv"
159," centuries,  more,  a,  today,  recent,  recent,  years,  2021,  20,  2021,  the,  five,  last,  than,  century,  decades,  years, 26,  past,  years,  year",[ 100 to quarter]," NAD,  India,  America,  India,  the,  States,  France,  Italy,  K,  West,  India,  India,  The,  States,  K, IA,  United, olkata,  Bengal, ias,  United"
160," 1949,  decades,  2012,  Sunday,  2019",[ 158 to  500]," NEW,  New,  London,  YORK,  York"
161," 53,  Friday,  June,  2019,  2017",[ 159 to  one]," Philippines, OS, ES"
162," years,  two,  last, and,  years,  year, th",[ 160 to  third]," New,  York"
163," 1960,  daily,  Six,  later,  2021,  February,  decades",[ 161 to  500]," Mexico,  Mexico,  Argentina,  Ecuador,  Spain,  Hog, ellum, s, arth"
164," winter,  years,  this,  up,  a,  less,  a,  ago,  July,  22, id,  summer, lons,  to,  week,  than,  decade,  2023",[ 162 to  two]," K,  Hawaii,  Hawaii,  Oregon,  State,  Pennsylvania, es, king, AILUA-KONA,  College"
165, Sunday,[ 163 to  one]," Arizona,  Arizona,  Arizona,  Arizona,  Colorado"
166," Every,  the,  few,  recent,  a,  days,  Friday,  28,  late,  Sept,  five,  days,  day,  past,  days,  weeks,  few,  September, . 16,  more",[ 164 to  500]," B,  Ukraine,  Kh,  Ukraine,  Bor,  K,  K,  K,  K,  K, OROVA, arkiv, ova, upiansk, skil, upiansk, upiansk, skil, upiansk, upiansk"
167," Friday,  Tuesday,  Wednesday,  day,  Thursday,  Fridays,  Fridays,  a,  11,  this,  of,  Sunday,  last,  34,  the,  this,  this,  season,  years,  time,  year,  season,  years,  season,  season",[ 1/3 to 188]," Arlington,  Texas,  Miami,  New,  York"
168," the,  decades,  early,  84,  the,  1920s,  September,  1920s",[ 166 to ys]," WE,  Calif,  Lincoln,  Sisk,  Oregon,  Louisiana,  Mississippi,  Arkansas,  Lincoln,  Lincoln,  Weed,  Lincoln,  Lincoln,  California,  Santa,  Paradise,  Green,  Lincoln, ro, ED, .,  Heights, iyou County,  Heights,  Heights,  Heights,  Heights,  Rosa, ville,  Heights, s"
169, September,[ 167 to  thousands]," AS,  Israel,  Ash,  Israel,  Ash,  Ash, HALIM, gev, alim, alim, alim"
170," the,  years,  2008,  years",[ 168 to  two]," L,  Los,  San,  Los,  Los,  Californ,  California, ias, OS ANGELES,  Angeles,  Francisco,  Angeles,  Angeles, ias"
171," last,  Tuesday,  last,  January,  year,  week,  2017",[ 169 to  500]," W,  Russia,  Alexandria,  Virginia,  the,  District,  Virginia,  Russia,  Russia, s, ASHINGTON,  Eastern"
172," Thurs,  34,  June,  Friday,  February,  a,  months,  Thurs, days,  2020,  few, days",[ 170 to  million]," Thailand,  Thailand,  Thailand,  the,  States,  Thailand, ita,  United"
173," 1994,  100,  days",[ 1 to  up]," Rwanda,  G,  Rwanda,  Libya,  G,  Rw,  K,  Rwanda,  Rwanda,  Britain,  Denmark,  Rw,  Britain,  Rwanda,  Rwanda,  Bur,  Congo,  Erit,  Somalia,  Sudan,  Israel,  Rwanda,  Rwanda, ASHORA, ashora, andas, igali, andas, andas, undi, rea"
174," last,  Thursday,  June,  three,  2020,  summer, -day",[ 172 to dozen]," New,  L,  N,  Wayne,  New,  Wayne,  Rochester,  Albany,  New,  New,  New,  New,  Yorks, YONS, .Y.,  Countys,  York,  County,  York,  Yorks,  York,  York"
175," Monday,  70,  21,  2020,  late,  the,  2018,  2017,  years, -summer,  mid-1990s",[ 11 to  than]," Los,  L,  Los,  New,  New,  LA,  New,  Los,  LA,  Hollywood,  LA,  Angeles, OS ANGELES,  Angeles,  York,  Yorks,  York,  Angeles"
176," Mid,  Presidents,  Day,  May, -March 2021, '","[ 174 to ,000]"," Afghanistan, as, rada, iwi, al, a, ac, ocdoc"
177," 8, year, old,  mid, September,  13,  35,  August,  the,  month,  year,  the,  this,  ages,  this, -, -, -,  years,  same,  last,  1990s,  year,  year",[ 16 to  two]," Cyp,  Cypress,  Brooklyn,  Cyp,  Brooklyn,  Cyp,  New,  City,  New,  New,  Brooklyn,  Cyp,  East,  York, ress Hills,  Hills, ress Hills, ress Hills,  York, 's,  York,  York, th, inct, ress Hills,  New"
178," Sept.,  2020,  29,  21,  27,  14","[ 1 to ,500]"," the,  Arab,  the,  Arab,  Israel,  the,  Arab,  Emirates,  Brooklyn,  Chicago,  Manchester,  England,  Brussels,  Quebec,  Tel,  Abu,  Belgium,  the,  States,  Morocco,  Israel,  Turkey,  Iran,  Singapore,  Nigeria,  Emirates,  Emirates, ic,  United,  Emirates,  United,  Emirates, ords,  United,  Emirates,  Aviv,  Dhabi,  United, ifa"
179," 2020,  Last,  late,  month, aches,  month,  last",[ 177 to  two]," Texas,  Georgia,  Texas,  Georgia,  Texas,  AT,  Georgia,  New,  Colorado,  New,  Atlanta,  Texas,  Fulton,  Georgia,  Atlanta,  Georgia,  Texas,  Atlanta,  Atlanta,  Texas,  Georgia,  Texas,  Georgia,  Texas,  Atlanta,  Texas,  South, LANTA,  Mexico,  York,  County,  Carolina"
180," 79,  this,  1973,  this,  Sunday,  79,  May,  about,  months,  49,  earlier,  1971,  July,  this,  January,  weekly,  Monday,  Tuesday,  a,  this,  Jan, ,,  year,  year,  two,  years,  1972,  year,  1973,  week,  year, . 17,  1973",[ 178 to  than]," Austin,  Texas,  Washington"
181," October,  that,  another,  January,  that,  A,  months,  May,  that,  2016,  fall,  year,  2017,  March,  few,  later,  2017,  September",[ 179 to  two]," Los,  Boston,  Los,  Los,  Angeles,  Angeles,  Angeles"
182," weeks,  The,  day,  1913,  a,  ago,  more,  a,  another,  this,  the,  year,  so,  next,  century,  than,  decade,  week,  weekend,  last,  or",[ 180 to  one]," L,  Tottenham,  North, ONDON, quered,  London"
183," 2020,  2020",[ 181 to  500]," China,  Beijing,  China,  Ecuador,  China,  China,  China,  Ecuador,  Peru,  Argentina,  China,  South,  Spain,  Taiwan,  China,  San,  China,  Ecuador, ápagos,  Korea,  Francisco, ceana, ápagos"
184," the,  the,  the,  two,  20,  20,  18,  these,  March,  1960s,  1980s,  past,  centuries,  days, -something, -year-old, -month,  days,  2020",[ 182 to 33]," Greenwich,  Village, uren"
185," Oct,  years,  78,  next,  years, . 15,  year",[ 183 to  500]," America,  America,  New,  City,  Cincinnati,  Charleston,  S,  York, .C.,"
186," annual,  year,  four,  20,  Thursday,  September,  next,  next,  August,  age,  annual,  1975,  year,  the,  quarter,  each,  the,  year,  decades, 23,  year,  year,  65,  third,  of,  year,  previous, 's",[ 17 to .9 million],.
187," this,  Week,  season,  Sunday,  last,  four,  Last,  Sunday,  15,  last,  this, et,  week,  4,  week,  weeks,  week,  years,  week,  week",[ 100 to 3]," London,  Buffalo,  Kansas,  Las,  London,  London,  City,  Vegas"
188," the,  1990,  2017,  the,  of,  today,  early, s,  summer,  2019","[ 1 to ,000]",N/A
189," last,  1939,  a,  1965,  the,  this,  and,  Sunday,  day, ver,  day,  day,  age",[ 187 to  500]," Scotland,  Scotland,  Portland,  Ore,  California,  Kal,  Florida,  Camden,  N,  Sw,  Boston, ., ., amazoo, .Y., odle, artz Creek"
190," weekday,  last,  last,  year,  month, -, emic",[ 188 to  two]," Williams,  Brooklyn,  Connecticut, burg, and"
191," the,  1960,  a,  years,  the,  1970,  late,  1996,  decades,  late, s, ud,  few,  early, s, -'60s,  later",[ 189 to  500]," Japan,  Tokyo, és"
192," the,  few,  Sept,  weeks,  1979,  83,  2018,  past,  weeks, . 16",[ 190 to  thousands]," U,  Iran,  Iran,  the,  States,  the,  Republic,  Iran,  the,  States,  Tehran, ne,  North,  Dubai,  Iran,  Iran,  Iran, .S.,  United,  Islamic,  United, ither,  Korea"
193," 2015,  days,  18,  2019,  This,  this,  March,  25,  spring,  fall",[ 191 to  two]," H,  Lancaster,  Pa,  Hollywood,  Pennsylvania,  Miami,  Los,  Los, uphoria, .,  Angeles,  Angeles"
194," the,  50,  the,  earlier,  year,  1975,  January,  past,  years,  1970s,  this",[ 192 to  two],N/A
195," same, day,  a,  Election,  Friday,  a,  same, day,  same, day,  same, day, -,  month,  Day,  week, -, -, -",[ 193 to  three]," Montana,  Montana,  the,  Nation,  Heart,  Dixon,  Montana,  Blackfeet,  Butte, feet, ated, ish, ootenai, es, head, ervation, th"
196," year,  Tuesday,  year,  Sept.,  37,  56,  23","[ 14 to ,500]"," L,  Texas,  Dallas,  Texas,  P,  Colo,  Buffalo,  N,  Indianapolis,  Lewis,  League,  Texas,  Jo,  Texas, EWISVILLE, ueblo, .;, .Y.;, ville,  City, aquin"
197," the,  of,  first,  his,  year,  the,  year,  30,  31,  Almost,  year,  2,  his,  year,  August,  fall,  2016, -year,  second,  previous,  a,  later,  last",[ 195 to  two]," Jackson,  N,  New,  City,  Taiwan,  Brooklyn, .C, .,  York"
198," May,  a,  the,  The,  day,  Four,  later,  2016,  Friday,  weekend,  next,  October,  years",[ 196 to  dozens]," W,  Georgia, ASHINGTON"
199," this,  a,  Saturday,  1997,  2002,  Oct,  1995,  the,  63,  the,  of,  21st,  month,  recent, . 20,  1990s,  turn,  the,  century",[ 197 to  500]," Chicago,  DR,  Germany,  Philadelphia,  Pennsylvania,  the,  States, ESDEN,  United"
200," decades,  year,  Oct, ,,  Oct, ,,  2022, 10, 09, 1210,  2022,  9,  2022, 209,  9,  2022, -, -",[ 198 to 3624331]," Texas,  Texas,  United, US,  San,  New,  N,  New,  N,  United,  New,  N, United,  New,  Times, ions,  States,  Antonio, ections,  York, .Y.,  York, .Y.,  States,  York, .Y.,  States,  York"
201," early,  school,  28,  day,  last,  year,  years",[ 10 to one]," U,  GREAT,  Mass,  New,  Arizona,  South,  North,  Tennessee,  California, .S.,  BARRINGTON, .,  York,  Carolina,  Carolina"
202," the,  2022,  Exactly,  month,  Election,  November,  almost,  decades,  2006,  2010,  2014,  2018,  2022,  Nov,  recent,  The,  the,  a,  ago,  spring,  one,  Day,  two, . 8,  years,  year,  spring,  month",[ 200 to  two]," Georgia,  Nevada,  Pennsylvania"
203," earlier,  year,  This,  Tuesday,  Wednesday,  this,  week",[ 201 to  one]," Brooklyn,  Algeria,  T,  T,  New, aghit, aghit,  York"
204," 2017,  year 2022,  Oct, ,,  Oct, ,,  2022, 10, 09,  9,  2022,  9,  2022, -, -",[ 0 to X]," Crown,  New,  New,  N,  New,  N,  United,  New,  N, United,  New,  Times, LYN, 16, 361, OS, ONES,  Heights, house,  York,  York, .Y.,  York, .Y.,  States,  York, .Y.,  States,  York"
205," 2008,  The,  2009,  months",[ 203 to  least]," New,  Iraq,  York"
206," his,  year,  17,  March,  sophomore,  2021","[ 1 to ,500]"," San,  Calif,  San,  San,  the,  States,  Tanzania,  Cambodia,  California,  San,  Calif,  Jose,  Jose,  Jose,  United,  Jose"
207," three,  ago,  42,  March,  1984,  Thursday,  decades,  Friday,  decades, -year",[ 205 to ades]," Z,  Russia,  the,  States,  Iraq,  Iran,  Israel,  Syria,  Zapor,  Ukraine,  Russia,  Zapor,  Ky,  Ukraine,  Ukraine,  Russia,  Ukraine, aporizhzhia,  United, izhzhia, izhzhia, iv, ensky"
208," the,  1980,  the,  of 2021,  early,  1979,  today,  the,  the,  quarter, id,  early, s,  summer,  2022,  1990s,  third",[ 206 to  three]," Brazil,  the,  States,  United"
209," 48,  40,  two,  September,  46,  49,  2020,  ages,  to,  circa,  years,  6,  15, ,000, -1910, s","[ 207 to ,200]"," Ber,  Manhattan,  Washington,  New,  Emerson,  Ber, The,  Town,  Washington,  Hudson, gen County,  Heights,  Jersey, gen County, ods,  Family,  Township,  County"
210," weekly,  year,  Oct, ,,  2022,  9,  2022",[ 208 to .2]," New,  City,  New York,  Manhattan,  New,  N,  New,  New,  N,  United,  New,  N, United,  York,  York, .Y.,  York, .Y.,  States,  York, .Y.,  States, 3624331"
211," 120, year, old,  the,  19th,  July,  2019, ble, -, -,  late,  century",[ 209 to 41]," Bedford,  Brooklyn,  Bedford, St, uy, -Stuyvesant, tle, -, uyvesant"
212," a,  Friday","[ 210 to ,000]",N/A
213," this,  This,  20,  the,  year,  next,  1972,  early,  year,  2002,  season,  season, ry, th-anniversary,  first,  month,  next",[ 211 to  two]," New,  Brooklyn,  Minneapolis,  York, id"
214," 1962,  today,  decades,  1976,  Saturday,  1962,  1976, ens","[ 2,500 to  up]",N/A
215," Earlier,  summer,  nearly,  years,  ages,  to,  2016,  4,  Years,  recent,  2019,  this,  30,  ago,  2,  18,  years","[ 1 to ,000]"," Staten,  Staten,  Prov,  Utah,  the,  States,  Staten,  New,  Brooklyn,  Sunset,  Brooklyn,  Staten, 's,  New,  City,  U, S,  Island,  Island, o,  United,  Island,  Dorp,  Park,  Island,  York, ."
216," 21,  These,  later,  month,  the,  32,  2015,  that,  Two,  a,  day,  days,  this,  day,  day,  hundred,  bad",[ 214 to  500]," Los,  Manhattan,  Angeles, th"
217," 17th,  decades, 1960,  the, -century, s,  '60s",[ 215 to  500]," New,  City,  East,  Queens,  York,  Elmhurst, 500, ikers, cke"
218," a,  years,  the,  1973,  ',  few,  ago,  1960s, 73",[ 216 to  One]," Hurricane,  Tenn,  Hurricane,  Mills, .,,  Mills"
219," 1996,  year,  Oct, ,,  Oct, ,,  2022, 10,  2022,  9,  2022,  9,  2022, -, -09",[ 0 to XES]," New,  N,  New,  New,  N,  United,  New,  N, United,  New,  Times, bury, erson, HEBY'S, N, room,  York, .Y.,  York, .Y.,  States,  York, .Y.,  States,  York"
220," Last,  that,  several,  ago,  Two,  every,  this,  31,  Saturday,  day,  weeks,  days,  day,  Saturday",[ 218 to  thousands]," New,  Iran,  Iran,  Clinton,  Brooklyn,  the,  Republic,  Iran,  Iran,  New,  Brooklyn,  Iran,  York,  Hill,  Islamic,  York"
221," the,  the,  32,  35,  1980s,  mid-1980s",[ 219 to  some]," Hob,  N, oken, .J.,"
222," 5,  decades,  nearly,  years,  1973,  years,  more,  40,  78,  Earlier,  year,  this,  Decades,  50,  than,  years,  this,  summer",[ 220 to  500]," California,  Vietnam,  Marin,  Calif,  San,  County,  Francisco, as"
223," Every,  the,  a,  years,  a,  his,  20,  year,  Oct, ,,  Oct, ,,  2022, 11,  October,  fall,  few,  ago,  decade,  late, s, s, .10,  2022,  9,  2022,  9,  2022, -, -03",[ 0 to 3624331]," Brooklyn,  New,  N,  New,  N,  United,  New,  N, United,  New,  Times,  York, .Y.,  York, .Y.,  States,  York, .Y.,  States,  York"
224," next,  weeks,  two,  ago,  next,  year,  decades,  year",[ 10 to -thirds],N/A
225," Months,  last,  five, month,  recent,  recent,  most,  the,  year,  March,  month, -,  weeks,  weeks,  of,  past",[ 223 to .2 million]," U, S,  Ethiopia,  NA,  Kenya,  Ethiopia,  United,  Tig,  Dj,  Tig,  Ukraine,  Tig,  Ethiopia,  Erit,  Switzerland,  the,  States,  Ethiopia,  Dj, ., ., IROBI,  States, ray, ibouti, ray, ray, rea,  United, ibouti"
226," last,  1991,  February,  January,  2020,  Today,  last,  January,  month,  month","[ 2 to ,000]"," Moscow,  Russia,  Ukraine,  Ukraine,  Russia,  Moscow,  China,  Kyr,  the,  Union,  Kyr,  Taj,  Russia,  Ukraine,  Kyr,  B,  Kyr,  Ukraine,  Russia,  Pax,  Kazakhstan,  Moscow,  Armenia,  Azerbaijan,  Armenia,  Moscow,  Azerbaijan,  Russia,  Armenia,  Moscow,  Ukraine,  China,  Russia,  Kyr, ium, gyzstan,  Soviet, gyzstan, ikistan, gyzstan, ishkek, gyz,  Russica, gyzstan"
227," Sept, ,,  that,  day,  Sept, ,,  184,  65,  1995,  72,  the,  century,  their,  years, . 15,  1838,  same, . 15,  2022,  years, -year-old,  19th,  44",[ 225 to  some]," Manhattan,  New,  Mass,  Harlem,  Harlem, penard, BeCa,  Bedford"
228," Friday,  Wednesday,  Saturday,  Wednesday,  Friday,  the,  several,  Oct,  past,  days, ener, . 18",[ 226 to  500],N/A
229," 38,  four,  ago,  nearly,  decades,  four,  22,  December,  years,  years,  four,  years",[ 227 to  500],IGHB
230," the,  two,  recent,  A,  years,  over,  decade,  past,  years,  years, ens,  few,  a",[ 228 to /50], America
231," Labor,  last,  just,  month,  early,  late,  a,  Labor,  this, 's,  weeks,  three,  Day,  year,  a,  mid-July,  October,  Friday, ptons,  half,  Day,  fall,  final, -month",[ 11 to .9]," New,  New,  Manhattan,  Buffalo,  New,  Florida, in,  York,  York,  York"
232," these,  the,  quarter,  2022,  between,  2020,  early,  2022,  under,  million,  weekly,  year,  Oct, ,,  days,  second,  of,  June,  and,  August, emic,  2.5,  2022,  9,  2022","[ 1 to 85,000]"," New,  City,  Manhattan,  Brooklyn,  Brooklyn,  New,  N,  New,  York,  York, .Y.,  York"
233," Saturday,  2018,  Saturday",[ 15 to  two]," Crimea,  Russia,  Ukraine,  Ukraine,  KY,  Ukraine,  Russia,  Ukraine,  Ukraine,  Ukraine,  Russia,  Russia,  Crimea,  Ukraine,  Crimea,  Russia, IV"
234," 2007,  ninth,  every,  Last, 's,  Sept.,  29,  week,  Wednesday,  Oct,  year,  year,  year,  28, long, . 11",[ 232 to . 909]," Alaska,  Alaska,  Kat, mai, ai"
235," last,  Sept.,  9, year,  roughly,  decades,  half,  year, ect,  year,  1, -, -olds,  two, id, emic,  a, 's",[ 233 to  two]," Washington,  D, ions, ,, .C.,"
236," Sept,  The,  years,  about,  year,  my, ens, . 26,  teenage,  a,  20s",[ 234 to  three]," U, S, ., ."
237," Jan,  last,  eight,  earlier,  Jan.,  23,  Jan.,  last,  Jan.,  Friday, . 6,  fall,  months,  6,  6,  month,  6",[ 235 to  hundreds]," Virginia,  Virginia,  Fairfax,  Springfield,  Va,  Fairfax, ., ., ., .,  County, .,"
